Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16628416k(9554324k free), swap 19905216k(12933048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=629145600 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.688: [GC (Allocation Failure) 0.688: [DefNew: 959K->63K(960K), 0.0016285 secs] 45789K->45222K(524224K), 0.0016991 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.692: [GC (Allocation Failure) 0.692: [DefNew: 959K->63K(960K), 0.0015994 secs] 46134K->45552K(524224K), 0.0016723 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.695: [GC (Allocation Failure) 0.695: [DefNew: 959K->63K(960K), 0.0016130 secs] 46458K->45908K(524224K), 0.0016817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.699: [GC (Allocation Failure) 0.699: [DefNew: 959K->64K(960K), 0.0011950 secs] 46817K->46250K(524224K), 0.0012422 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.702: [GC (Allocation Failure) 0.702: [DefNew: 960K->64K(960K), 0.0017195 secs] 47154K->46607K(524224K), 0.0018041 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.706: [GC (Allocation Failure) 0.706: [DefNew: 960K->64K(960K), 0.0014805 secs] 47514K->46923K(524224K), 0.0015432 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.709: [GC (Allocation Failure) 0.709: [DefNew: 960K->64K(960K), 0.0014839 secs] 47830K->47248K(524224K), 0.0015334 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.712: [GC (Allocation Failure) 0.712: [DefNew: 960K->64K(960K), 0.0015787 secs] 48167K->47559K(524224K), 0.0016361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.715: [GC (Allocation Failure) 0.715: [DefNew: 960K->63K(960K), 0.0017293 secs] 48465K->47911K(524224K), 0.0017799 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.719: [GC (Allocation Failure) 0.719: [DefNew: 959K->63K(960K), 0.0010897 secs] 48842K->48175K(524224K), 0.0011278 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.721: [GC (Allocation Failure) 0.721: [DefNew: 959K->63K(960K), 0.0014110 secs] 49104K->48457K(524224K), 0.0014711 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.725: [GC (Allocation Failure) 0.725: [DefNew: 959K->63K(960K), 0.0015043 secs] 49366K->48797K(524224K), 0.0015756 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.728: [GC (Allocation Failure) 0.728: [DefNew: 959K->63K(960K), 0.0015553 secs] 49723K->49096K(524224K), 0.0016266 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.735: [GC (Allocation Failure) 0.735: [DefNew: 959K->64K(960K), 0.0016972 secs] 50005K->49445K(524224K), 0.0017633 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.739: [GC (Allocation Failure) 0.739: [DefNew: 960K->63K(960K), 0.0016810 secs] 50356K->49787K(524224K), 0.0018086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.742: [GC (Allocation Failure) 0.742: [DefNew: 959K->63K(960K), 0.0016598 secs] 50697K->50128K(524224K), 0.0017172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.746: [GC (Allocation Failure) 0.746: [DefNew: 959K->63K(960K), 0.0013589 secs] 51054K->50433K(524224K), 0.0014148 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.749: [GC (Allocation Failure) 0.749: [DefNew: 959K->64K(960K), 0.0010920 secs] 51360K->50739K(524224K), 0.0011271 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.752: [GC (Allocation Failure) 0.752: [DefNew: 960K->64K(960K), 0.0014514 secs] 51648K->51097K(524224K), 0.0015020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.755: [GC (Allocation Failure) 0.755: [DefNew: 960K->63K(960K), 0.0017297 secs] 52022K->51402K(524224K), 0.0017954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.758: [GC (Allocation Failure) 0.758: [DefNew: 959K->63K(960K), 0.0011920 secs] 52318K->51724K(524224K), 0.0012336 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.762: [GC (Allocation Failure) 0.762: [DefNew: 959K->63K(960K), 0.0012438 secs] 52644K->52054K(524224K), 0.0012894 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.764: [GC (Allocation Failure) 0.764: [DefNew: 959K->63K(960K), 0.0015462 secs] 52959K->52421K(524224K), 0.0015945 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.768: [GC (Allocation Failure) 0.768: [DefNew: 959K->64K(960K), 0.0016002 secs] 53338K->52722K(524224K), 0.0016583 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.772: [GC (Allocation Failure) 0.772: [DefNew: 960K->63K(960K), 0.0014967 secs] 53642K->53013K(524224K), 0.0015534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.774: [GC (Allocation Failure) 0.774: [DefNew: 959K->64K(960K), 0.0015194 secs] 53932K->53364K(524224K), 0.0015666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.778: [GC (Allocation Failure) 0.778: [DefNew: 960K->63K(960K), 0.0015224 secs] 54293K->53661K(524224K), 0.0015745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.781: [GC (Allocation Failure) 0.781: [DefNew: 959K->63K(960K), 0.0014586 secs] 54587K->53960K(524224K), 0.0015183 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.784: [GC (Allocation Failure) 0.784: [DefNew: 959K->63K(960K), 0.0016580 secs] 54865K->54323K(524224K), 0.0017123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.788: [GC (Allocation Failure) 0.788: [DefNew: 959K->63K(960K), 0.0012366 secs] 55248K->54625K(524224K), 0.0012876 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.791: [GC (Allocation Failure) 0.791: [DefNew: 959K->64K(960K), 0.0017373 secs] 55531K->54980K(524224K), 0.0017996 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.795: [GC (Allocation Failure) 0.796: [DefNew: 960K->63K(960K), 0.0018181 secs] 55884K->55331K(524224K), 0.0018902 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.798: [GC (Allocation Failure) 0.798: [DefNew: 959K->64K(960K), 0.0019374 secs] 56234K->55690K(524224K), 0.0020004 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.807: [GC (Allocation Failure) 0.807: [DefNew: 960K->63K(960K), 0.0022413 secs] 56595K->56078K(524224K), 0.0023146 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.811: [GC (Allocation Failure) 0.811: [DefNew: 959K->64K(960K), 0.0025947 secs] 56988K->56599K(524224K), 0.0026635 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
0.815: [GC (Allocation Failure) 0.815: [DefNew: 960K->64K(960K), 0.0017195 secs] 57518K->56967K(524224K), 0.0017743 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.819: [GC (Allocation Failure) 0.819: [DefNew: 960K->63K(960K), 0.0017467 secs] 57866K->57329K(524224K), 0.0018101 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
